Date,DateType,Reason
04/13/2016 00:00:00,Rain,Missing
04/14/2016 00:00:00,Rain,Missing
04/15/2016 00:00:00,Rain,Missing
04/16/2016 00:00:00,Rain,Missing
04/17/2016 00:00:00,Rain,Missing
04/18/2016 00:00:00,Rain,Missing
04/19/2016 00:00:00,Rain,Missing
04/20/2016 00:00:00,Rain,Missing
04/21/2016 00:00:00,Rain,Missing
04/22/2016 00:00:00,Rain,Missing
04/23/2016 00:00:00,Rain,Missing
04/24/2016 00:00:00,Rain,Missing
04/25/2016 00:00:00,Rain,Missing
04/26/2016 00:00:00,Rain,Missing
04/27/2016 00:00:00,Rain,Missing
04/28/2016 00:00:00,Rain,Missing
04/29/2016 00:00:00,Rain,Missing
04/30/2016 00:00:00,Rain,Missing
05/01/2016 00:00:00,Rain,Missing
05/02/2016 00:00:00,Rain,Missing
05/03/2016 00:00:00,Rain,Missing
05/04/2016 00:00:00,Rain,Missing
05/05/2016 00:00:00,Rain,Missing
05/06/2016 00:00:00,Rain,Missing
05/07/2016 00:00:00,Rain,Missing
05/08/2016 00:00:00,Rain,Missing
05/09/2016 00:00:00,Rain,Missing
05/10/2016 00:00:00,Rain,Missing
05/11/2016 00:00:00,Rain,Missing
05/12/2016 00:00:00,Rain,Missing
05/13/2016 00:00:00,Rain,Missing
05/14/2016 00:00:00,Rain,Missing
05/15/2016 00:00:00,Rain,Missing
05/16/2016 00:00:00,Rain,Missing
05/17/2016 00:00:00,Rain,Missing
05/18/2016 00:00:00,Rain,Missing
05/19/2016 00:00:00,Rain,Missing
05/20/2016 00:00:00,Rain,Missing
05/21/2016 00:00:00,Rain,Missing
05/22/2016 00:00:00,Rain,Missing
05/23/2016 00:00:00,Rain,Missing
05/24/2016 00:00:00,Rain,Missing
05/25/2016 00:00:00,Rain,Missing
05/26/2016 00:00:00,Rain,Missing
05/27/2016 00:00:00,Rain,Missing
05/28/2016 00:00:00,Rain,Missing
05/29/2016 00:00:00,Rain,Missing
05/30/2016 00:00:00,Rain,Missing
05/31/2016 00:00:00,Rain,Missing
06/01/2016 00:00:00,Rain,Missing
06/02/2016 00:00:00,Rain,Missing
06/03/2016 00:00:00,Rain,Missing
06/04/2016 00:00:00,Rain,Missing
06/05/2016 00:00:00,Rain,Missing
06/06/2016 00:00:00,Rain,Missing
06/07/2016 00:00:00,Rain,Missing
06/08/2016 00:00:00,Rain,Missing
06/09/2016 00:00:00,Rain,Missing
06/10/2016 00:00:00,Rain,Missing
06/11/2016 00:00:00,Rain,Missing
06/12/2016 00:00:00,Rain,Missing
06/13/2016 00:00:00,Rain,Missing
06/14/2016 00:00:00,Rain,Missing
06/15/2016 00:00:00,Rain,Missing
06/16/2016 00:00:00,Rain,Missing
06/17/2016 00:00:00,Rain,Missing
06/18/2016 00:00:00,Rain,Missing
06/19/2016 00:00:00,Rain,Missing
06/20/2016 00:00:00,Rain,Missing
06/21/2016 00:00:00,Rain,Missing
06/22/2016 00:00:00,Rain,Missing
06/23/2016 00:00:00,Rain,Missing
06/24/2016 00:00:00,Rain,Missing
06/25/2016 00:00:00,Rain,Missing
06/26/2016 00:00:00,Rain,Missing
06/27/2016 00:00:00,Rain,Missing
06/28/2016 00:00:00,Rain,Missing
06/29/2016 00:00:00,Rain,Missing
06/30/2016 00:00:00,Rain,Missing
07/01/2016 00:00:00,Rain,Missing
07/02/2016 00:00:00,Rain,Missing
07/03/2016 00:00:00,Rain,Missing
07/04/2016 00:00:00,Rain,Missing
07/05/2016 00:00:00,Rain,Missing
07/06/2016 00:00:00,Rain,Missing
07/07/2016 00:00:00,Rain,Missing
07/08/2016 00:00:00,Rain,Missing
07/09/2016 00:00:00,Rain,Missing
07/10/2016 00:00:00,Rain,Missing
07/11/2016 00:00:00,Rain,Missing
07/12/2016 00:00:00,Rain,Missing
07/13/2016 00:00:00,Rain,Missing
07/14/2016 00:00:00,Rain,Missing
07/15/2016 00:00:00,Rain,Missing
07/16/2016 00:00:00,Rain,Missing
07/17/2016 00:00:00,Rain,Missing
07/18/2016 00:00:00,Rain,Missing
07/19/2016 00:00:00,Rain,Missing
07/20/2016 00:00:00,Rain,Missing
07/21/2016 00:00:00,Rain,Missing
07/22/2016 00:00:00,Rain,Missing
07/23/2016 00:00:00,Rain,Missing
07/24/2016 00:00:00,Rain,Missing
07/25/2016 00:00:00,Rain,Missing
07/26/2016 00:00:00,Rain,Missing
07/27/2016 00:00:00,Rain,Missing
07/28/2016 00:00:00,Rain,Missing
07/29/2016 00:00:00,Rain,Missing
07/30/2016 00:00:00,Rain,Missing
07/31/2016 00:00:00,Rain,Missing
08/01/2016 00:00:00,Rain,Missing
08/02/2016 00:00:00,Rain,Missing
08/03/2016 00:00:00,Rain,Missing
08/04/2016 00:00:00,Rain,Missing
08/05/2016 00:00:00,Rain,Missing
08/06/2016 00:00:00,Rain,Missing
08/07/2016 00:00:00,Rain,Missing
08/08/2016 00:00:00,Rain,Missing
08/09/2016 00:00:00,Rain,Missing
08/10/2016 00:00:00,Rain,Missing
08/11/2016 00:00:00,Rain,Missing
08/12/2016 00:00:00,Rain,Missing
08/13/2016 00:00:00,Rain,Missing
08/14/2016 00:00:00,Rain,Missing
08/15/2016 00:00:00,Rain,Missing
08/16/2016 00:00:00,Rain,Missing
08/17/2016 00:00:00,Rain,Missing
08/18/2016 00:00:00,Rain,Missing
08/19/2016 00:00:00,Rain,Missing
08/20/2016 00:00:00,Rain,Missing
08/21/2016 00:00:00,Rain,Missing
08/22/2016 00:00:00,Rain,Missing
08/23/2016 00:00:00,Rain,Missing
08/24/2016 00:00:00,Rain,Missing
08/25/2016 00:00:00,Rain,Missing
08/26/2016 00:00:00,Rain,Missing
08/27/2016 00:00:00,Rain,Missing
08/28/2016 00:00:00,Rain,Missing
08/29/2016 00:00:00,Rain,Missing
08/30/2016 00:00:00,Rain,Missing
08/31/2016 00:00:00,Rain,Missing
09/01/2016 00:00:00,Rain,Missing
09/02/2016 00:00:00,Rain,Missing
09/03/2016 00:00:00,Rain,Missing
09/04/2016 00:00:00,Rain,Missing
09/05/2016 00:00:00,Rain,Missing
09/06/2016 00:00:00,Rain,Missing
09/07/2016 00:00:00,Rain,Missing
09/08/2016 00:00:00,Rain,Missing
09/09/2016 00:00:00,Rain,Missing
09/10/2016 00:00:00,Rain,Missing
09/11/2016 00:00:00,Rain,Missing
09/12/2016 00:00:00,Rain,Missing
09/13/2016 00:00:00,Rain,Missing
09/14/2016 00:00:00,Rain,Missing
09/15/2016 00:00:00,Rain,Missing
09/16/2016 00:00:00,Rain,Missing
09/17/2016 00:00:00,Rain,Missing
09/18/2016 00:00:00,Rain,Missing
09/19/2016 00:00:00,Rain,Missing
09/20/2016 00:00:00,Rain,Missing
09/21/2016 00:00:00,Rain,Missing
09/22/2016 00:00:00,Rain,Missing
09/23/2016 00:00:00,Rain,Missing
09/24/2016 00:00:00,Rain,Missing
09/25/2016 00:00:00,Rain,Missing
09/26/2016 00:00:00,Rain,Missing
09/27/2016 00:00:00,Rain,Missing
09/28/2016 00:00:00,Rain,Missing
09/29/2016 00:00:00,Rain,Missing
09/30/2016 00:00:00,Rain,Missing
10/01/2016 00:00:00,Rain,Missing
10/02/2016 00:00:00,Rain,Missing
10/03/2016 00:00:00,Rain,Missing
10/04/2016 00:00:00,Rain,Missing
10/05/2016 00:00:00,Rain,Missing
10/06/2016 00:00:00,Rain,Missing
10/07/2016 00:00:00,Rain,Missing
10/08/2016 00:00:00,Rain,Missing
10/09/2016 00:00:00,Rain,Missing
10/10/2016 00:00:00,Rain,Missing
10/11/2016 00:00:00,Rain,Missing
10/12/2016 00:00:00,Rain,Missing
10/13/2016 00:00:00,Rain,Missing
10/14/2016 00:00:00,Rain,Missing
10/15/2016 00:00:00,Rain,Missing
10/16/2016 00:00:00,Rain,Missing
10/17/2016 00:00:00,Rain,Missing
10/18/2016 00:00:00,Rain,Missing
10/19/2016 00:00:00,Rain,Missing
10/20/2016 00:00:00,Rain,Missing
10/21/2016 00:00:00,Rain,Missing
10/22/2016 00:00:00,Rain,Missing
10/23/2016 00:00:00,Rain,Missing
10/24/2016 00:00:00,Rain,Missing
10/25/2016 00:00:00,Rain,Missing
10/26/2016 00:00:00,Rain,Missing
10/27/2016 00:00:00,Rain,Missing
10/28/2016 00:00:00,Rain,Missing
